2023-05-16 23:05:320 INFO  HomePage :50 - Click on Computer Menu tab [[ChromeDriver: chrome on WINDOWS (e2110648db4bcea6032ad070a2668c4a)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-05-16 23:05:165 INFO  HomePage :59 - Click on Logout LinkDesktop tab [[ChromeDriver: chrome on WINDOWS (e2110648db4bcea6032ad070a2668c4a)] -> xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']]
2023-05-16 23:05:355 INFO  HomePage :44 - Select menu option Computers
2023-05-16 23:05:464 INFO  HomePage :50 - Click on Computer Menu tab [[ChromeDriver: chrome on WINDOWS (d0cbc75b668537c07e7fb8caa6b3c0d1)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-05-16 23:05:448 INFO  HomePage :59 - Click on Logout LinkDesktop tab [[ChromeDriver: chrome on WINDOWS (d0cbc75b668537c07e7fb8caa6b3c0d1)] -> xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']]
2023-05-16 23:05:61 INFO  DesktopPage :77 - Select Name : A to Z from sort by Position[[ChromeDriver: chrome on WINDOWS (d0cbc75b668537c07e7fb8caa6b3c0d1)] -> id: products-orderby]
2023-05-16 23:05:210 INFO  BuildYourOwnComputerPage :68 - Build your own Computer with processor [[ChromeDriver: chrome on WINDOWS (d0cbc75b668537c07e7fb8caa6b3c0d1)] -> id: product_attribute_1]
2023-05-16 23:05:353 INFO  BuildYourOwnComputerPage :74 - Build your own Computer with 8GB RAM [[ChromeDriver: chrome on WINDOWS (d0cbc75b668537c07e7fb8caa6b3c0d1)] -> id: product_attribute_2]
2023-05-16 23:05:485 INFO  BuildYourOwnComputerPage :80 - Build your own Computer with 400GB HDD [[ChromeDriver: chrome on WINDOWS (d0cbc75b668537c07e7fb8caa6b3c0d1)] -> id: product_attribute_3_7]
2023-05-16 23:05:603 INFO  BuildYourOwnComputerPage :86 - Build your own Computer with OS Vista Premium [[ChromeDriver: chrome on WINDOWS (d0cbc75b668537c07e7fb8caa6b3c0d1)] -> id: product_attribute_4_9]
2023-05-16 23:05:705 INFO  BuildYourOwnComputerPage :92 - Build your own Computer with Microsoft Office and Total Commander [[ChromeDriver: chrome on WINDOWS (d0cbc75b668537c07e7fb8caa6b3c0d1)] -> id: product_attribute_5_12]
2023-05-16 23:05:61 INFO  HomePage :67 - Mouse hover on Electronics tab [[ChromeDriver: chrome on WINDOWS (f59f57ed964a675442d2577ccc237e0c)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 23:05:64 INFO  HomePage :68 - Mouse hover on Cell phones and click [[ChromeDriver: chrome on WINDOWS (f59f57ed964a675442d2577ccc237e0c)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Cell phones']]
2023-05-16 23:05:206 INFO  HomePage :67 - Mouse hover on Electronics tab [[ChromeDriver: chrome on WINDOWS (8ef4b3c293c1aa7174463554ffe78221)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 23:05:207 INFO  HomePage :68 - Mouse hover on Cell phones and click [[ChromeDriver: chrome on WINDOWS (8ef4b3c293c1aa7174463554ffe78221)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Cell phones']]
2023-05-16 23:05:682 INFO  CellPhonesPage :39 - Click on List view tab[[ChromeDriver: chrome on WINDOWS (8ef4b3c293c1aa7174463554ffe78221)] -> xpath: //a[normalize-space()='List']]
2023-05-16 23:05:190 INFO  HomePage :44 - Select menu option Computers
2023-05-16 23:05:254 INFO  HomePage :50 - Click on Computer Menu tab [[ChromeDriver: chrome on WINDOWS (2cc0dece98d31aad05143b08ac4e7e2a)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-05-16 23:05:363 INFO  HomePage :59 - Click on Logout LinkDesktop tab [[ChromeDriver: chrome on WINDOWS (2cc0dece98d31aad05143b08ac4e7e2a)] -> xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']]
2023-05-16 23:05:776 INFO  HomePage :44 - Select menu option Computers
2023-05-16 23:05:820 INFO  HomePage :50 - Click on Computer Menu tab [[ChromeDriver: chrome on WINDOWS (a881ede86b2573f4783e0d06f4374fa0)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-05-16 23:05:94 INFO  HomePage :59 - Click on Logout LinkDesktop tab [[ChromeDriver: chrome on WINDOWS (a881ede86b2573f4783e0d06f4374fa0)] -> xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']]
2023-05-16 23:05:352 INFO  DesktopPage :77 - Select Name : A to Z from sort by Position[[ChromeDriver: chrome on WINDOWS (a881ede86b2573f4783e0d06f4374fa0)] -> id: products-orderby]
2023-05-16 23:05:36 INFO  HomePage :67 - Mouse hover on Electronics tab [[ChromeDriver: chrome on WINDOWS (75bd7198af6d04d26a0a05c2f13da7fe)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 23:05:38 INFO  HomePage :68 - Mouse hover on Cell phones and click [[ChromeDriver: chrome on WINDOWS (75bd7198af6d04d26a0a05c2f13da7fe)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Cell phones']]
2023-05-16 23:05:781 INFO  HomePage :67 - Mouse hover on Electronics tab [[ChromeDriver: chrome on WINDOWS (f05d47c2b4eea78ffd0c18647ba3d963)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 23:05:782 INFO  HomePage :68 - Mouse hover on Cell phones and click [[ChromeDriver: chrome on WINDOWS (f05d47c2b4eea78ffd0c18647ba3d963)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Cell phones']]
2023-05-16 23:05:415 INFO  CellPhonesPage :39 - Click on List view tab[[ChromeDriver: chrome on WINDOWS (f05d47c2b4eea78ffd0c18647ba3d963)] -> xpath: //a[normalize-space()='List']]
